CIK,Company_Name,Filing_Year_End,Alignment_Similarity,Score_1_Fin,Score_1_Fin_Unbounded,Score_1_Text,Score_1_Text_Unbounded,Score_2_Fin_Velocity,Score_2_Fin_Directional,Score_2_Text_Velocity,Score_2_Text_Directional,Score_3_Decoupling_Distance,Score_3_Cosine_Dissimilarity,Score_3_Signed_Divergence
18255,CATO CORP,2020,0.8757,0.9377,3.0782,0.9456,3.183,0.0,0.0,0.0,0.0,0.4985,0.1243,-0.1048
18255,CATO CORP,2021,0.9692,0.9479,3.2157,0.9483,3.2216,0.3662,0.1375,0.016,0.0386,0.2481,0.0308,-0.0059
18255,CATO CORP,2022,0.9783,0.9494,3.2384,0.9503,3.2524,0.0806,0.0227,0.0438,0.0307,0.2084,0.0217,-0.0139
18255,CATO CORP,2023,0.9944,0.9457,3.1836,0.9426,3.1418,0.0907,-0.0549,0.0907,-0.1106,0.1054,0.0056,0.0418
18926,"LUMEN TECHNOLOGIES, INC.",2021,0.8624,0.0764,0.6148,0.9388,3.0912,0.0,0.0,0.0,0.0,0.5247,0.1376,-2.4764
18926,"LUMEN TECHNOLOGIES, INC.",2022,0.9795,0.8449,2.3569,0.9427,3.1421,0.3517,1.7422,0.0131,0.051,0.2025,0.0205,-0.7852
19584,CHEMED CORP,2019,0.9555,0.9353,3.0488,0.9855,4.1912,0.0,0.0,0.0,0.0,0.2984,0.0445,-1.1425
19584,CHEMED CORP,2020,0.9492,0.9327,3.0184,0.9862,4.2245,0.0586,-0.0303,0.0162,0.0332,0.3188,0.0508,-1.206
19584,CHEMED CORP,2021,0.9576,0.9613,3.4437,0.986,4.2136,0.1706,0.4253,0.0078,-0.0109,0.2912,0.0424,-0.7699
19584,CHEMED CORP,2022,0.9463,0.961,3.4386,0.9809,3.9806,0.0149,-0.0052,0.1086,-0.233,0.3276,0.0537,-0.542
19745,CHESAPEAKE UTILITIES CORP,2019,0.9511,0.8326,2.2947,0.3669,1.0772,0.0,0.0,0.0,0.0,0.3128,0.0489,1.2175
19745,CHESAPEAKE UTILITIES CORP,2020,0.9589,0.86,2.4403,0.5753,1.483,0.0488,0.1456,0.1233,0.4058,0.2865,0.0411,0.9572
19745,CHESAPEAKE UTILITIES CORP,2021,0.9722,0.7241,1.8744,0.6934,1.7817,0.1272,-0.5659,0.0932,0.2987,0.236,0.0278,0.0927
19745,CHESAPEAKE UTILITIES CORP,2022,0.9717,0.6349,1.6244,0.5542,1.4366,0.0554,-0.25,0.078,-0.3451,0.2377,0.0283,0.1878
20212,CHURCHILL DOWNS INC,2019,0.9527,0.7168,1.8516,-0.0783,0.3823,0.0,0.0,0.0,0.0,0.3077,0.0473,1.4692
20212,CHURCHILL DOWNS INC,2020,0.9648,0.737,1.9157,0.1406,0.7123,0.0184,0.0641,0.0714,0.3299,0.2654,0.0352,1.2034
21344,COCA COLA CO,2020,0.9778,0.99,4.4695,0.9742,3.7523,0.0,0.0,0.0,0.0,0.2106,0.0222,0.7171
21344,COCA COLA CO,2021,0.9804,0.9895,4.4338,0.9748,3.7717,0.0328,-0.0357,0.0119,0.0194,0.1982,0.0196,0.6621
21344,COCA COLA CO,2022,0.9904,0.9839,4.1101,0.9718,3.6867,0.1362,-0.3236,0.0255,-0.085,0.1383,0.0096,0.4235
21510,COHERENT INC,2020,0.9897,0.6515,1.6668,0.5309,1.3872,0.0,0.0,0.0,0.0,0.1435,0.0103,0.2796
21510,COHERENT INC,2021,0.9899,0.5697,1.4706,0.4583,1.2428,0.0478,-0.1961,0.035,-0.1444,0.1424,0.0101,0.2279
23197,COMTECH TELECOMMUNICATIONS CORP /DE/,2020,0.9586,0.9089,2.7817,0.6175,1.5814,0.0,0.0,0.0,0.0,0.2877,0.0414,1.2003
23197,COMTECH TELECOMMUNICATIONS CORP /DE/,2021,0.9675,0.791,2.1112,0.5074,1.3387,0.214,-0.6705,0.0523,-0.2426,0.255,0.0325,0.7724
23197,COMTECH TELECOMMUNICATIONS CORP /DE/,2022,0.8119,0.9801,3.9485,0.4017,1.1384,0.407,1.8373,0.048,-0.2003,0.6134,0.1881,2.8101
23197,COMTECH TELECOMMUNICATIONS CORP /DE/,2023,0.8851,0.9333,3.0246,0.5018,1.3276,0.2798,-0.9239,0.1178,0.1892,0.4795,0.1149,1.697
24545,MOLSON COORS BEVERAGE CO,2020,0.9697,0.9756,3.7942,0.9766,3.8274,0.0,0.0,0.0,0.0,0.2462,0.0303,-0.0332
25445,CRANE CO /DE/,2019,0.9172,0.9899,4.4599,0.9272,2.9569,0.0,0.0,0.0,0.0,0.407,0.0828,1.5031
26058,CTS CORP,2019,0.9176,0.8418,2.3409,0.9782,3.8808,0.0,0.0,0.0,0.0,0.4059,0.0824,-1.5399
26058,CTS CORP,2020,0.8592,0.7145,1.8445,0.9799,3.9442,0.109,-0.4964,0.0324,0.0634,0.5307,0.1408,-2.0997
26058,CTS CORP,2021,0.8633,0.7519,1.9659,0.9819,4.0205,0.0305,0.1214,0.0368,0.0764,0.523,0.1367,-2.0547
26058,CTS CORP,2022,0.8881,0.7405,1.9275,0.9771,3.8446,0.0082,-0.0383,0.0602,-0.1759,0.4731,0.1119,-1.9171
26324,CURTISS WRIGHT CORP,2019,-0.0552,-0.9376,-2.0765,0.8406,2.3347,0.0,0.0,0.0,0.0,1.4527,1.0552,-4.4112
26324,CURTISS WRIGHT CORP,2020,-0.142,-0.9193,-1.8768,0.8673,2.4833,0.1116,0.1997,0.0375,0.1486,1.5113,1.142,-4.3601
27996,DELUXE CORP,2019,0.052,-0.9735,-2.7322,0.9175,2.8592,0.0,0.0,0.0,0.0,1.377,0.948,-5.5914
29332,DIXIE GROUP INC,2019,0.4202,-0.9633,-2.4841,0.9317,3.0072,0.0,0.0,0.0,0.0,1.0769,0.5798,-5.4913
